"x"
"1","Abner S. Lipscomb"
"2","Mirabeau B. Lamar"
"3","Nathaniel Amory"
"4","A. T. Biimley"
"5","David G. Burnet"
"6","A. T. Burnley"
"7","Alc6e La Branche"
"8","Hamilton and Burnley"
"9","James Hamilton"
"10","James Hamilton and A. T. Bumley"
"11","James Treat"
"12","R. Pakenham"
"13","Anto. Lopez de Santa Anna"
"14","Antonio Canales"
"15","H. U. Addington"
"16","Brenham and Cooke"
"17","Secretary of State Roberts"
"18","Correspondent at Vera Cruz"
"19","D. Rowlett"
"20","David G. Bumet"
"21","DaAdd G. Burnet"
"22","Richard G. Dunlap"
"23","E. W. Moore"
"24","Joaquin Rivas Sayas"
"25","Muabeau B. Lamar"
"26","PedrffLemus"
"27","H. S. Fox"
"28","J. R. Poinsett"
"29","Jamee HamUton"
"30","Lords of the Treasury"
"31","Monroe Edwards"
"32","R. Copeland"
"33","Senior Officer of British Navy"
"34","James Ritchie"
"35","Juan de Dios CaAedo"
"36","Juan de Dios Cafiedo"
"37","Juan Nepomuceno Almonte"
"38","Mirabeau B. Imar"
"39","Jas. Ogilvy"
"40","John Crawford"
"41","John Taylor"
"42","Juan de Dies Cafiedo"
"43","Juan N. Leplicher"
"44","Juan Vitalba"
"45","Miguel Barbachano"
"46","Governor of Yucatan"
"47","Lord Russell"
"48","Pedro Lemus"
"49","Secretary of State Rej6n"
"50","Sebastian Canacho"
"51","T. Dunlap"
"52","William M. Williams"
"53","William Scurlock"
"x"
"1","Daniel Webster"
"2","Isaac Van Zandt"
"3","Anson Jones"
"4","Ashbel Smith"
"5","A. P. Upshur"
"6","Abel Smith"
"7","Lord Aberdeen"
"8","Address of Tilghman A. Howard"
"9","Aflbbel Smith"
"10","Al. Bourgeois"
"11","Charles Elliot"
"12","G. W. Terrell"
"13","George S. Mcintosh"
"14","Isaac Van 2iandt"
"15","James K. Polk"
"16","James Reily"
"17","Victor Pirson"
"18","Viscount J. de Cramayel"
"19","W. S. Murphy"
"20","William Kennedy"
"21","Wm. Henry Daingerfield"
"22","Arthur Ikin"
"23","Baron de Cetto"
"24","Edward Everett"
"25","General Sancho"
"26","Geo. S. Mcintosh"
"27","Henry Castro"
"28","Joseph Hume"
"29","Lachlin M. Rate"
"30","M. Guizot"
"31","M. P. Russell"
"32","Martinez de La Rosa"
"33","Stewart Newell"
"34","Texan Consuls"
"35","Theodore Barbey"
"36","Washington Irving"
"37","Wm. Pringle"
"38","Charles de Castell"
"39","Secretary of State Jones"
"40","Chas. H. Raymond"
"41","G . W. TerreU"
"42","Lord Clarendon"
"43","Gabriel Shaw"
"44","Geo. Fisher"
"45","William S. Archer"
"46","J. C. Spencer"
"47","J. H. Brower"
"48","Jesse Benton"
"49","John Hall"
"50","Joseph W. Robertson"
"51","lx)rd Aberdeen"
"52","Ashbel Smithy undated i 1442"
"53","Percy W. Doyle"
"54","R. Sieveking"
"55","Baron Roenne"
"56","Count d Alviella"
"57","Senator Gildmeister"
"58","V. Rumpff"
"x"
"1","Sam Houston"
"2","A. M. Green"
"3","Joseph Eve"
"4","Van Zandt and Henderson"
"5","Geo. W. Hockley"
"6","Joaquin G. Rej6n"
"7","President of Texas"
"8","Secretary of State Waples"
"9","M. E. Hale"
"10","Reuben M. Potter"
"11","A. B. Roman"
"x"
"1","A. de Saligny"
"2","James S. Mayfield"
"3","Secretary of State Mayfield"
"4","A. Gloux"
"5","Alleye de Cyprey"
"6","A. Hutchinson"
"7","Geo. H. Flood"
"8","James H. Starr"
"9","Henry J. Jewett"
"10","Information given by Henry J. Jewett"
"11","Wm. Sevey"
"12","Thos. Gales Forster"
"13","Joseph Waples"
"x"
"1","A. S. Wright"
"2","Barnard E. Bee"
"3","John Merle"
"4","William Bryan"
"5","Wm. Bryan"
"6","Abb6 Anduz6"
"7","BaniaxdE. Bee"
"8","James Webb"
"9","Secretary of State Lipscomb"
"10","Geo. L. Hammeken"
"11","Ignacio de Mora"
"12","Jacob Barker"
"13","Samuel A. Roberts"
"14","Admiral Baudin"
"15","John D. Morris"
"16","Mariano Arista"
"17","Van Ness and Morris"
"18","Martin F. Peraza"
"19","Cooke and others"
"20","Rafael Uribe"
"21","Wm. G. Cooke"
"22","Carrasco"
"x"
"1","Ebenezer Allen"
"2","A. J. Donelson"
"3","Secretary of State Allen"
"4","Charles H. Raymond"
"5","John C. Calhoun"
"6","the Secretary of State of Texas Allen"
"7","the Secretary of State of Texas Jones"
"8","D. Parker"
"9","David S. Kaufman"
"10","James Buchanan"
"11","Duff Green"
"12","E. A. Rhodes"
"13","William D. Lee"
"14","J. Y. Mason"
"15","Joseph C. Eldredge"
"16","W. L. Marcy"
"17","Wm. Wilkins"
